

Semana,java,React
2023-12-03,81,36
2023-12-10,82,37
2023-12-17,78,37
2023-12-24,65,29
2023-12-31,68,33
2024-01-07,80,40
2024-01-14,81,38
2024-01-21,85,38
2024-01-28,91,45
2024-02-04,95,45
2024-02-11,100,40
2024-02-18,93,44
2024-02-25,92,43
2024-03-03,91,41
2024-03-10,86,43
2024-03-17,87,42
2024-03-24,78,42
2024-03-31,89,42
2024-04-07,81,45
2024-04-14,85,44
2024-04-21,84,45
2024-04-28,74,43
2024-05-05,81,43
2024-05-12,79,43
2024-05-19,82,43
2024-05-26,83,42
2024-06-02,79,38
2024-06-09,81,41
2024-06-16,81,38
2024-06-23,77,39
2024-06-30,79,39
2024-07-07,82,41
2024-07-14,85,41
2024-07-21,79,40
2024-07-28,76,39
2024-08-04,79,37
2024-08-11,76,40
2024-08-18,79,37
2024-08-25,79,39
2024-09-01,78,38
2024-09-08,81,38
2024-09-15,79,36
2024-09-22,80,37
2024-09-29,73,34
2024-10-06,75,36
2024-10-13,78,37
2024-10-20,83,38
2024-10-27,70,35
2024-11-03,69,35
2024-11-10,77,36
2024-11-17,73,37
2024-11-24,72,37
2024-12-01,72,36
