

País,java,React
China,70 %,30 %
República Centroafricana,,
Eritrea,,
India,69 %,31 %
Sri Lanka,64 %,36 %
Islas Marianas del Norte,,
Islas Aland,,
Madagascar,,
Albania,,
Etiopía,60 %,40 %
Santa Elena,,
Corea del Sur,58 %,42 %
Singapur,61 %,39 %
Sudán del Sur,,
Kosovo,,
Nepal,47 %,53 %
Sierra Leona,,
Hong Kong,67 %,33 %
Myanmar (Birmania),,
Luxemburgo,,
Camerún,,
San Martín,,
República Democrática del Congo,,
Estonia,,
Burundi,,
Israel,55 %,45 %
Camboya,,
Zimbabue,,
Túnez,50 %,50 %
Tanzania,,
Ruanda,,
Kenia,58 %,42 %
Bielorrusia,61 %,39 %
Filipinas,66 %,34 %
Santo Tomé y Príncipe,,
Armenia,,
Liechtenstein,,
Canadá,62 %,38 %
Bulgaria,58 %,42 %
Vietnam,58 %,42 %
Macedonia del Norte,,
Benín,,
Moldavia,,
Suiza,72 %,28 %
Rumanía,62 %,38 %
Togo,,
Serbia,56 %,44 %
Indonesia,78 %,22 %
Letonia,,
Irlanda,64 %,36 %
Rusia,67 %,33 %
Estados Unidos,64 %,36 %
Líbano,,
Suecia,60 %,40 %
Hungría,67 %,33 %
Portugal,60 %,40 %
Costa Rica,69 %,31 %
Pakistán,37 %,63 %
Mongolia,,
Alemania,72 %,28 %
Azerbaiyán,,
Bangladés,51 %,49 %
Lituania,,
Polonia,64 %,36 %
Austria,73 %,27 %
Taiwán,75 %,25 %
Uruguay,,
Chequia,63 %,37 %
Nigeria,49 %,51 %
Gibraltar,,
Mauricio,,
Uganda,,
España,72 %,28 %
Sint Maarten,,
Islas Feroe,,
Países Bajos,65 %,35 %
Georgia,,
El Salvador,,
Japón,75 %,25 %
Lesoto,,
Islas Cook,,
Nueva Zelanda,56 %,44 %
Marruecos,54 %,46 %
Malta,,
Eslovaquia,64 %,36 %
Perú,75 %,25 %
Ecuador,77 %,23 %
Zambia,,
Bélgica,67 %,33 %
Palestina,,
Malaui,,
Colombia,70 %,30 %
México,77 %,23 %
Angola,,
San Marino,,
Uzbekistán,56 %,44 %
Andorra,,
Eslovenia,,
Guinea,,
Malasia,63 %,37 %
Bolivia,73 %,27 %
Australia,57 %,43 %
Dinamarca,60 %,40 %
Palaos,,
Burkina Faso,,
Brasil,64 %,36 %
Noruega,56 %,44 %
Somalia,,
Mozambique,,
Francia,64 %,36 %
Montenegro,,
Baréin,,
Cuba,,
Croacia,54 %,46 %
Laos,,
Macao,,
Kirguistán,,
Brunéi,,
Ucrania,49 %,51 %
Congo,,
Guam,,
Chipre,,
Finlandia,51 %,49 %
Níger,,
Reino Unido,54 %,46 %
Jordania,,
Sudáfrica,64 %,36 %
Namibia,,
Isla de Man,,
Emiratos Árabes Unidos,53 %,47 %
Turkmenistán,,
Islandia,,
Chile,68 %,32 %
Kazajistán,67 %,33 %
Yibuti,,
Nueva Caledonia,,
Botsuana,,
Guinea-Bisáu,,
Argentina,61 %,39 %
Guatemala,,
Islas Vírgenes de EE. UU.,,
Senegal,,
Maldivas,,
Grecia,62 %,38 %
Paraguay,,
Bosnia y Herzegovina,,
Timor-Leste,,
Bután,,
Trinidad y Tobago,,
Ghana,,
Turquía,65 %,35 %
Italia,71 %,29 %
Guinea Ecuatorial,,
Dominica,,
Islas Caimán,,
Honduras,,
Liberia,,
Seychelles,,
Barbados,,
Nicaragua,,
Mauritania,,
Bermudas,,
Cabo Verde,,
Islas Salomón,,
Micronesia,,
Groenlandia,,
Côte d’Ivoire,,
Egipto,50 %,50 %
Esuatini,,
Surinam,,
Venezuela,67 %,33 %
Jamaica,,
Tonga,,
Panamá,,
Antigua y Barbuda,,
Granada,,
Catar,,
Belice,,
Sáhara Occidental,,
Islas Turcas y Caicos,,
Papúa Nueva Guinea,,
Vanuatu,,
Santa Lucía,,
Tailandia,53 %,47 %
Arabia Saudí,73 %,27 %
San Cristóbal y Nieves,,
Gabón,,
Afganistán,,
Polinesia Francesa,,
Mali,,
Comoras,,
Chad,,
Yemen,,
República Dominicana,,
Omán,,
Guyana,,
Argelia,56 %,44 %
Mayotte,,
Reunión,,
Bahamas,,
Kuwait,,
Gambia,,
Curazao,,
Samoa,,
Aruba,,
Guernesey,,
Puerto Rico,,
Jersey,,
Samoa Americana,,
Fiyi,,
Irak,,
Guayana Francesa,,
San Vicente y las Granadinas,,
Sudán,,
Siria,,
Tayikistán,,
Caribe neerlandés,,
Martinica,,
San Bartolomé,,
Libia,,
Guadalupe,,
Haití,,
Irán,46 %,54 %
Islas Vírgenes Británicas,,
Islas Heard y McDonald,,
San Pedro y Miquelón,,
Tokelau,,
Tuvalu,,
Islas Marshall,,
Nauru,,
Territorios Australes Franceses,,
Territorio Británico del Océano Índico,,
Islas menores alejadas de EE. UU.,,
Antártida,,
Isla de Navidad,,
Islas Malvinas (Islas Falkland),,
Ciudad del Vaticano,,
Islas Georgia del Sur y Sandwich del Sur,,
Niue,,
Svalbard y Jan Mayen,,
Kiribati,,
Isla Norfolk,,
Montserrat,,
Wallis y Futuna,,
Mónaco,,
Anguila,,
Islas Cocos,,
Isla Bouvet,,
Corea del Norte,,
Islas Pitcairn,,
