

Semana,Kotlin,Flutter
2023-12-03,35,85
2023-12-10,32,80
2023-12-17,30,81
2023-12-24,24,72
2023-12-31,27,74
2024-01-07,32,81
2024-01-14,31,85
2024-01-21,34,84
2024-01-28,38,94
2024-02-04,38,93
2024-02-11,35,92
2024-02-18,39,100
2024-02-25,38,93
2024-03-03,36,96
2024-03-10,38,94
2024-03-17,38,91
2024-03-24,36,88
2024-03-31,35,88
2024-04-07,33,84
2024-04-14,34,85
2024-04-21,34,88
2024-04-28,31,88
2024-05-05,32,90
2024-05-12,36,94
2024-05-19,36,87
2024-05-26,35,88
2024-06-02,33,84
2024-06-09,33,84
2024-06-16,32,78
2024-06-23,33,81
2024-06-30,31,82
2024-07-07,33,83
2024-07-14,32,81
2024-07-21,31,81
2024-07-28,31,82
2024-08-04,32,81
2024-08-11,31,79
2024-08-18,31,77
2024-08-25,30,79
2024-09-01,31,77
2024-09-08,30,77
2024-09-15,30,74
2024-09-22,31,78
2024-09-29,29,71
2024-10-06,30,76
2024-10-13,30,76
2024-10-20,31,75
2024-10-27,30,74
2024-11-03,28,70
2024-11-10,29,74
2024-11-17,30,74
2024-11-24,30,74
2024-12-01,31,74
