

País,Kotlin,Flutter
China,31 %,69 %
Corea del Sur,34 %,66 %
Armenia,34 %,66 %
Santa Elena,,
Rusia,60 %,40 %
Chipre,44 %,56 %
Bielorrusia,48 %,52 %
Georgia,48 %,52 %
Noruega,59 %,41 %
Pakistán,15 %,85 %
Macedonia del Norte,,
Chequia,58 %,42 %
Tayikistán,,
Estonia,44 %,56 %
Serbia,41 %,59 %
Montenegro,,
Singapur,33 %,67 %
Portugal,38 %,62 %
Kosovo,,
Polonia,47 %,53 %
Moldavia,,
Suecia,49 %,51 %
Israel,35 %,65 %
Kenia,23 %,77 %
Uzbekistán,19 %,81 %
Cabo Verde,,
India,20 %,80 %
Kirguistán,,
Ucrania,36 %,64 %
Letonia,,
Hong Kong,23 %,77 %
Madagascar,,
Camboya,10 %,90 %
Países Bajos,42 %,58 %
Alemania,42 %,58 %
Croacia,36 %,64 %
Lituania,44 %,56 %
Suiza,42 %,58 %
Eslovenia,34 %,66 %
Vietnam,17 %,83 %
Myanmar (Birmania),,
Finlandia,42 %,58 %
Etiopía,,
Bosnia y Herzegovina,,
Bulgaria,39 %,61 %
Sri Lanka,11 %,89 %
Kazajistán,31 %,69 %
Azerbaiyán,28 %,72 %
Eslovaquia,43 %,57 %
Austria,38 %,62 %
Rumanía,32 %,68 %
Hungría,39 %,61 %
Nepal,8 %,92 %
Irlanda,45 %,55 %
Togo,,
Taiwán,28 %,72 %
España,41 %,59 %
Luxemburgo,,
Japón,32 %,68 %
Túnez,9 %,91 %
Egipto,9 %,91 %
Ruanda,,
Líbano,,
Yemen,,
Canadá,38 %,62 %
Turkmenistán,,
Malaui,,
Camerún,,
Dinamarca,38 %,62 %
Palestina,,
Nueva Zelanda,34 %,66 %
Barbados,,
El Salvador,,
Mongolia,,
Albania,,
Bangladés,12 %,88 %
Indonesia,18 %,82 %
Jordania,,
Benín,,
Emiratos Árabes Unidos,15 %,85 %
Uruguay,,
Australia,36 %,64 %
Marruecos,15 %,85 %
Malta,,
Reino Unido,40 %,60 %
Estados Unidos,46 %,54 %
Francia,30 %,70 %
Brasil,26 %,74 %
Bélgica,32 %,68 %
Islandia,,
Bolivia,,
Turquía,21 %,79 %
Zimbabue,,
Perú,28 %,72 %
Ghana,,
Colombia,25 %,75 %
Tailandia,14 %,86 %
Costa Rica,,
México,32 %,68 %
Nicaragua,,
Mauritania,,
Uganda,,
Grecia,35 %,65 %
Nigeria,10 %,90 %
Sudáfrica,21 %,79 %
Mauricio,,
Namibia,,
Argentina,33 %,67 %
Cuba,,
Malasia,11 %,89 %
Filipinas,16 %,84 %
Burkina Faso,,
Irán,25 %,75 %
Guatemala,,
Somalia,,
Italia,23 %,77 %
Catar,,
Botsuana,,
Mozambique,,
Côte d’Ivoire,,
Baréin,,
Ecuador,18 %,82 %
Chile,28 %,72 %
Laos,,
Zambia,,
Congo,,
Brunéi,,
Reunión,,
Tanzania,,
Argelia,9 %,91 %
Sudán,,
Macao,,
República Dominicana,,
República Democrática del Congo,,
Trinidad y Tobago,,
Afganistán,,
Kuwait,,
Venezuela,20 %,80 %
Paraguay,,
Senegal,,
Angola,,
Panamá,,
Maldivas,,
Guinea,,
Mali,,
Irak,,
Siria,,
Omán,,
Honduras,,
Jamaica,,
Libia,,
Arabia Saudí,9 %,91 %
Papúa Nueva Guinea,,
Haití,,
Puerto Rico,,
Lesoto,,
Andorra,,
Gabón,,
Islas Heard y McDonald,,
Aruba,,
Nueva Caledonia,,
Níger,,
Isla Norfolk,,
Mayotte,,
Gibraltar,,
Niue,,
Guernesey,,
Gambia,,
Micronesia,,
Nauru,,
Islas Feroe,,
Guinea-Bisáu,,
Islas Malvinas (Islas Falkland),,
Islas Marshall,,
Islas Pitcairn,,
Fiyi,,
Sáhara Occidental,,
Palaos,,
Guinea Ecuatorial,,
Eritrea,,
Martinica,,
Corea del Norte,,
San Martín,,
Montserrat,,
Granada,,
Polinesia Francesa,,
Dominica,,
Jersey,,
Yibuti,,
Islas Caimán,,
Isla de Navidad,,
Groenlandia,,
Kiribati,,
Isla de Man,,
Curazao,,
Islas Georgia del Sur y Sandwich del Sur,,
Comoras,,
Svalbard y Jan Mayen,,
Islas Salomón,,
Sierra Leona,,
Islas Cook,,
San Marino,,
Islas Marianas del Norte,,
San Pedro y Miquelón,,
San Cristóbal y Nieves,,
Sudán del Sur,,
Santo Tomé y Príncipe,,
Surinam,,
Islas Cocos,,
República Centroafricana,,
Isla Bouvet,,
Esuatini,,
Sint Maarten,,
Seychelles,,
Guayana Francesa,,
Islas Turcas y Caicos,,
Chad,,
Bután,,
Liechtenstein,,
Bermudas,,
Tokelau,,
Belice,,
Timor-Leste,,
Tonga,,
Santa Lucía,,
San Bartolomé,,
Bahamas,,
Tuvalu,,
Caribe neerlandés,,
Guam,,
Burundi,,
Antigua y Barbuda,,
Islas menores alejadas de EE. UU.,,
Territorios Australes Franceses,,
Antártida,,
Samoa Americana,,
Ciudad del Vaticano,,
San Vicente y las Granadinas,,
Territorio Británico del Océano Índico,,
Islas Vírgenes Británicas,,
Islas Vírgenes de EE. UU.,,
Guyana,,
Vanuatu,,
Wallis y Futuna,,
Samoa,,
Islas Aland,,
Anguila,,
Liberia,,
Mónaco,,
Guadalupe,,
