

País,Ruby,Node.js
Nueva Zelanda,99 %,1 %
Bermudas,,
Guam,,
Tanzania,100 %,< 1 %
Estados Unidos,99 %,1 %
Australia,99 %,1 %
Irlanda,98 %,2 %
Canadá,98 %,2 %
Reino Unido,99 %,1 %
Isla de Man,,
Jersey,,
Islas Vírgenes Británicas,,
Guernesey,,
Islas Vírgenes de EE. UU.,,
Palaos,,
Nigeria,97 %,3 %
Malta,,
Islas Salomón,,
Barbados,,
Islas Caimán,,
Tonga,,
Caribe neerlandés,,
Ghana,98 %,2 %
Trinidad y Tobago,,
Islas Turcas y Caicos,,
Gibraltar,,
Seychelles,,
Samoa Americana,,
Groenlandia,,
Islas Feroe,,
Singapur,95 %,5 %
Brunéi,,
Antigua y Barbuda,,
Santa Lucía,,
Sint Maarten,,
Bahamas,,
Santa Elena,,
Islas Marianas del Norte,,
Aruba,,
Dinamarca,96 %,4 %
Belice,,
Países Bajos,97 %,3 %
San Vicente y las Granadinas,,
Filipinas,98 %,2 %
Liechtenstein,,
Curazao,,
Maldivas,,
Samoa,,
San Martín,,
Islandia,,
Myanmar (Birmania),,
Granada,,
Hong Kong,93 %,7 %
Puerto Rico,,
Papúa Nueva Guinea,,
Vietnam,98 %,2 %
Mauricio,,
Vanuatu,,
Suecia,95 %,5 %
Sudáfrica,97 %,3 %
Guyana,,
Islas Aland,,
Jamaica,,
Brasil,97 %,3 %
Fiyi,,
China,,
Alemania,96 %,4 %
San Cristóbal y Nieves,,
Portugal,94 %,6 %
Líbano,,
Malasia,97 %,3 %
Suiza,95 %,5 %
Austria,95 %,5 %
Noruega,95 %,5 %
Finlandia,94 %,6 %
Luxemburgo,,
Rumanía,95 %,5 %
Emiratos Árabes Unidos,96 %,4 %
Uganda,,
Chipre,,
Dominica,,
Madagascar,,
Martinica,,
Botsuana,,
Paraguay,,
Bélgica,96 %,4 %
Zimbabue,,
Estonia,,
India,92 %,8 %
Guadalupe,,
Letonia,,
Mongolia,,
Pakistán,90 %,10 %
Kenia,92 %,8 %
Baréin,,
Camboya,,
Namibia,,
Guayana Francesa,,
Francia,97 %,3 %
Surinam,,
Reunión,,
Hungría,94 %,6 %
Polinesia Francesa,,
Malaui,,
Bután,,
Lituania,,
Chequia,92 %,8 %
Nepal,,
Zambia,,
Croacia,,
Eslovenia,,
Colombia,96 %,4 %
Andorra,,
Costa Rica,,
México,97 %,3 %
Honduras,,
Eslovaquia,93 %,7 %
Macedonia del Norte,,
Chile,96 %,4 %
Uruguay,,
San Bartolomé,,
Catar,,
Nueva Caledonia,,
Argentina,96 %,4 %
Indonesia,98 %,2 %
Sri Lanka,,
Grecia,95 %,5 %
Israel,85 %,15 %
Panamá,,
Kosovo,,
Polonia,93 %,7 %
Georgia,,
Esuatini,,
El Salvador,,
Laos,,
Albania,,
San Marino,,
Kuwait,,
Nicaragua,,
Mozambique,,
España,95 %,5 %
Italia,96 %,4 %
Cuba,,
Montenegro,,
Perú,96 %,4 %
Macao,,
Bosnia y Herzegovina,,
Guatemala,,
Serbia,,
Benín,,
Gabón,,
Cabo Verde,,
Haití,,
Bolivia,,
República Dominicana,,
Bulgaria,,
Moldavia,,
Turquía,94 %,6 %
Omán,,
Burundi,,
Etiopía,,
Corea del Sur,71 %,29 %
Japón,87 %,13 %
Somalia,,
Yibuti,,
Sierra Leona,,
Venezuela,95 %,5 %
Guinea Ecuatorial,,
Bangladés,91 %,9 %
Argelia,,
Armenia,,
Ruanda,,
Azerbaiyán,,
Túnez,,
Côte d’Ivoire,,
Tailandia,91 %,9 %
Liberia,,
Ucrania,85 %,15 %
Lesoto,,
Marruecos,,
Camerún,,
Gambia,,
Sudán del Sur,,
Congo,,
Bielorrusia,,
Egipto,88 %,12 %
Jordania,,
Ecuador,,
Rusia,89 %,11 %
Taiwán,81 %,19 %
Senegal,,
Togo,,
Angola,,
Níger,,
Irak,,
Timor-Leste,,
Afganistán,,
Palestina,,
Arabia Saudí,93 %,7 %
Mauritania,,
República Democrática del Congo,,
Sáhara Occidental,,
Uzbekistán,,
Burkina Faso,,
Kirguistán,,
Libia,,
Mali,,
Guinea,,
Kazajistán,,
Siria,,
Turkmenistán,,
Yemen,,
Chad,,
Sudán,,
Irán,88 %,12 %
Tayikistán,,
República Centroafricana,,
Anguila,,
Santo Tomé y Príncipe,,
Islas Cocos,,
Tokelau,,
San Pedro y Miquelón,,
Comoras,,
Svalbard y Jan Mayen,,
Islas Georgia del Sur y Sandwich del Sur,,
Isla de Navidad,,
Eritrea,,
Tuvalu,,
Corea del Norte,,
Islas Malvinas (Islas Falkland),,
Micronesia,,
Islas Pitcairn,,
Islas menores alejadas de EE. UU.,,
Nauru,,
Guinea-Bisáu,,
Niue,,
Ciudad del Vaticano,,
Islas Heard y McDonald,,
Isla Norfolk,,
Territorio Británico del Océano Índico,,
Mayotte,,
Territorios Australes Franceses,,
Antártida,,
Wallis y Futuna,,
Isla Bouvet,,
Montserrat,,
Kiribati,,
Islas Marshall,,
Mónaco,,
Islas Cook,,
