

Semana,Oracle Database,MySQL
2023-12-03,11,86
2023-12-10,9,89
2023-12-17,8,83
2023-12-24,6,65
2023-12-31,7,69
2024-01-07,9,83
2024-01-14,10,87
2024-01-21,10,90
2024-01-28,12,100
2024-02-04,12,95
2024-02-11,13,87
2024-02-18,12,97
2024-02-25,13,95
2024-03-03,12,95
2024-03-10,11,95
2024-03-17,11,96
2024-03-24,9,84
2024-03-31,12,89
2024-04-07,12,88
2024-04-14,12,93
2024-04-21,13,91
2024-04-28,9,80
2024-05-05,10,88
2024-05-12,12,86
2024-05-19,11,83
2024-05-26,10,90
2024-06-02,10,83
2024-06-09,10,87
2024-06-16,10,79
2024-06-23,10,76
2024-06-30,10,81
2024-07-07,10,79
2024-07-14,9,80
2024-07-21,9,81
2024-07-28,9,73
2024-08-04,10,79
2024-08-11,9,73
2024-08-18,9,76
2024-08-25,9,76
2024-09-01,9,77
2024-09-08,9,76
2024-09-15,9,74
2024-09-22,9,77
2024-09-29,9,71
2024-10-06,9,75
2024-10-13,9,76
2024-10-20,10,81
2024-10-27,8,74
2024-11-03,8,72
2024-11-10,9,83
2024-11-17,11,77
2024-11-24,10,74
2024-12-01,10,76
