

País,Oracle Database,MySQL
Santa Elena,19 %,81 %
Yibuti,,
Etiopía,16 %,84 %
Somalia,,
Botsuana,,
Lesoto,,
Yemen,24 %,76 %
Ruanda,,
Mongolia,,
Mauricio,,
Papúa Nueva Guinea,,
Luxemburgo,,
Jordania,24 %,76 %
Catar,29 %,71 %
India,9 %,91 %
Baréin,,
Camboya,11 %,89 %
Singapur,9 %,91 %
Macao,,
Omán,29 %,71 %
Zimbabue,,
Afganistán,,
Túnez,10 %,90 %
Kuwait,30 %,70 %
Madagascar,,
Sri Lanka,6 %,94 %
Emiratos Árabes Unidos,16 %,84 %
Albania,,
Ghana,13 %,87 %
Pakistán,10 %,90 %
Hong Kong,5 %,95 %
Camerún,,
Líbano,11 %,89 %
Costa Rica,11 %,89 %
China,< 1 %,100 %
Kenia,7 %,93 %
Myanmar (Birmania),6 %,94 %
Palestina,,
Rumanía,10 %,90 %
Burkina Faso,,
Sudán,,
Uganda,11 %,89 %
Malaui,,
Azerbaiyán,15 %,85 %
Arabia Saudí,25 %,75 %
Marruecos,9 %,91 %
Egipto,14 %,86 %
Nepal,6 %,94 %
Bangladés,10 %,90 %
Côte d’Ivoire,,
Tanzania,10 %,90 %
Corea del Sur,2 %,98 %
Togo,,
Croacia,12 %,88 %
Letonia,,
Senegal,,
El Salvador,7 %,93 %
Macedonia del Norte,,
Eslovenia,8 %,92 %
Suiza,9 %,91 %
Irlanda,10 %,90 %
Namibia,,
Vietnam,5 %,95 %
Malasia,7 %,93 %
Panamá,,
Laos,,
Chequia,7 %,93 %
Canadá,9 %,91 %
Zambia,,
Portugal,6 %,94 %
Mali,,
Bulgaria,5 %,95 %
Estados Unidos,11 %,89 %
Bosnia y Herzegovina,,
Paraguay,,
Sudáfrica,9 %,91 %
Guatemala,6 %,94 %
Chipre,,
Austria,8 %,92 %
Montenegro,,
Eslovaquia,8 %,92 %
Hungría,5 %,95 %
Brunéi,,
Australia,10 %,90 %
Serbia,6 %,94 %
Trinidad y Tobago,,
Estonia,,
Noruega,10 %,90 %
Países Bajos,6 %,94 %
Georgia,,
Polonia,6 %,94 %
Honduras,,
Colombia,5 %,95 %
Benín,,
Islandia,,
Reino Unido,9 %,91 %
Argelia,11 %,89 %
España,5 %,95 %
Tailandia,6 %,94 %
Angola,,
Bélgica,7 %,93 %
Nueva Zelanda,9 %,91 %
Chile,6 %,94 %
Lituania,,
Filipinas,4 %,96 %
Taiwán,4 %,96 %
Jamaica,,
Japón,4 %,96 %
Libia,,
Finlandia,7 %,93 %
Moldavia,,
Dinamarca,7 %,93 %
República Dominicana,7 %,93 %
Israel,4 %,96 %
Uzbekistán,,
Haití,,
Suecia,6 %,94 %
Perú,5 %,95 %
Ecuador,5 %,95 %
Grecia,7 %,93 %
México,4 %,96 %
Alemania,5 %,95 %
Nigeria,5 %,95 %
Puerto Rico,,
Italia,6 %,94 %
Siria,,
Indonesia,3 %,97 %
Nicaragua,,
Mozambique,,
Bielorrusia,3 %,97 %
Brasil,4 %,96 %
Francia,5 %,95 %
República Democrática del Congo,,
Armenia,,
Uruguay,,
Bolivia,,
Kazajistán,5 %,95 %
Rusia,3 %,97 %
Ucrania,2 %,98 %
Argentina,3 %,97 %
Irak,,
Kirguistán,,
Turquía,6 %,94 %
Irán,6 %,94 %
Cuba,,
Venezuela,,
Sierra Leona,,
Guyana,,
Mayotte,,
Aruba,,
Islas Marianas del Norte,,
Isla Bouvet,,
Mauritania,,
Montserrat,,
Martinica,,
Malta,,
Barbados,,
República Centroafricana,,
Islas Marshall,,
Sáhara Occidental,,
Nueva Caledonia,,
Níger,,
Isla Norfolk,,
Maldivas,,
Mónaco,,
Niue,,
Islas Cocos,,
San Martín,,
Bermudas,,
Nauru,,
Congo,,
Belice,,
Islas Cook,,
San Bartolomé,,
Islas Pitcairn,,
Liechtenstein,,
Santa Lucía,,
Palaos,,
Comoras,,
Cabo Verde,,
Curazao,,
Corea del Norte,,
San Cristóbal y Nieves,,
Kiribati,,
Bahamas,,
Polinesia Francesa,,
Isla de Navidad,,
Reunión,,
Caribe neerlandés,,
Islas Caimán,,
Jersey,,
Territorio Británico del Océano Índico,,
Burundi,,
Isla de Man,,
Dominica,,
Islas Georgia del Sur y Sandwich del Sur,,
Antigua y Barbuda,,
Svalbard y Jan Mayen,,
Islas Salomón,,
Islas Heard y McDonald,,
Territorios Australes Franceses,,
San Marino,,
Antártida,,
San Pedro y Miquelón,,
Guam,,
Sudán del Sur,,
Santo Tomé y Príncipe,,
Surinam,,
Guayana Francesa,,
Samoa Americana,,
Groenlandia,,
Esuatini,,
Sint Maarten,,
Seychelles,,
Granada,,
Islas Turcas y Caicos,,
Chad,,
Guinea Ecuatorial,,
Guinea-Bisáu,,
Tayikistán,,
Tokelau,,
Turkmenistán,,
Timor-Leste,,
Tonga,,
Gambia,,
Guadalupe,,
Guinea,,
Tuvalu,,
Gibraltar,,
Andorra,,
Islas Aland,,
Guernesey,,
Islas menores alejadas de EE. UU.,,
Gabón,,
Micronesia,,
Islas Feroe,,
Ciudad del Vaticano,,
San Vicente y las Granadinas,,
Islas Malvinas (Islas Falkland),,
Islas Vírgenes Británicas,,
Islas Vírgenes de EE. UU.,,
Anguila,,
Vanuatu,,
Wallis y Futuna,,
Samoa,,
Kosovo,,
Fiyi,,
Liberia,,
Eritrea,,
Bután,,
