

Semana,C,C#
2023-12-03,99,61
2023-12-10,92,58
2023-12-17,90,58
2023-12-24,79,42
2023-12-31,77,46
2024-01-07,88,59
2024-01-14,86,64
2024-01-21,89,63
2024-01-28,93,69
2024-02-04,95,70
2024-02-11,87,64
2024-02-18,90,70
2024-02-25,91,71
2024-03-03,90,68
2024-03-10,90,70
2024-03-17,95,66
2024-03-24,82,59
2024-03-31,84,60
2024-04-07,91,64
2024-04-14,83,68
2024-04-21,87,65
2024-04-28,86,57
2024-05-05,83,58
2024-05-12,78,61
2024-05-19,81,60
2024-05-26,75,60
2024-06-02,73,59
2024-06-09,70,59
2024-06-16,70,55
2024-06-23,71,56
2024-06-30,69,53
2024-07-07,71,59
2024-07-14,70,55
2024-07-21,72,55
2024-07-28,68,53
2024-08-04,78,53
2024-08-11,77,51
2024-08-18,79,54
2024-08-25,82,52
2024-09-01,84,52
2024-09-08,89,55
2024-09-15,92,53
2024-09-22,96,56
2024-09-29,90,49
2024-10-06,92,52
2024-10-13,98,54
2024-10-20,100,53
2024-10-27,84,49
2024-11-03,86,49
2024-11-10,92,52
2024-11-17,94,51
2024-11-24,91,50
2024-12-01,92,49
