

País,C,C#
China,68 %,32 %
Nepal,88 %,12 %
India,79 %,21 %
Eritrea,,
Bangladés,88 %,12 %
Madagascar,,
Corea del Sur,51 %,49 %
Camerún,,
Israel,46 %,54 %
Benín,,
Somalia,,
Ruanda,,
Marruecos,86 %,14 %
Pakistán,70 %,30 %
Túnez,76 %,24 %
Angola,,
Congo,,
Burundi,,
Camboya,68 %,32 %
Senegal,,
Cabo Verde,,
Micronesia,,
Palestina,,
Yibuti,,
Sri Lanka,59 %,41 %
Albania,,
Vietnam,56 %,44 %
Comoras,,
Etiopía,,
Kosovo,,
Singapur,55 %,45 %
Belice,,
Guinea Ecuatorial,,
Mongolia,,
Togo,,
Islas Turcas y Caicos,,
Níger,,
Kenia,82 %,18 %
Portugal,51 %,49 %
Mauritania,,
Taiwán,41 %,59 %
Jamaica,,
Sierra Leona,,
Filipinas,65 %,35 %
Armenia,,
Samoa Americana,,
Rumanía,52 %,48 %
Sáhara Occidental,,
Nicaragua,,
Gambia,,
Guyana,,
Tonga,,
Bután,,
Lesoto,,
Hong Kong,54 %,46 %
Moldavia,,
San Vicente y las Granadinas,,
Chipre,,
San Marino,,
Cuba,,
Myanmar (Birmania),,
Canadá,53 %,47 %
Côte d’Ivoire,,
Líbano,,
Santa Elena,,
Ecuador,74 %,26 %
Guinea,,
Burkina Faso,,
Chad,,
Papúa Nueva Guinea,,
El Salvador,,
Timor-Leste,,
Guayana Francesa,,
Ghana,,
España,67 %,33 %
Guatemala,69 %,31 %
Afganistán,,
Andorra,,
Guinea-Bisáu,,
Serbia,40 %,60 %
Zimbabue,,
México,65 %,35 %
Antigua y Barbuda,,
Nigeria,80 %,20 %
Mauricio,,
Liberia,,
Brasil,66 %,34 %
Macedonia del Norte,,
Argelia,85 %,15 %
Mozambique,,
República Dominicana,58 %,42 %
Eslovaquia,51 %,49 %
Bosnia y Herzegovina,,
Caribe neerlandés,,
Macao,,
Bolivia,59 %,41 %
Honduras,,
Perú,70 %,30 %
Haití,,
Laos,,
Panamá,,
Sudán del Sur,,
Gabón,,
Estados Unidos,57 %,43 %
Granada,,
Paraguay,,
Vanuatu,,
Yemen,,
San Cristóbal y Nieves,,
Costa Rica,,
Islandia,,
Azerbaiyán,,
Islas Aland,,
Malaui,,
Botsuana,,
Suiza,43 %,57 %
Maldivas,,
Italia,62 %,38 %
República Democrática del Congo,,
Rusia,36 %,64 %
Argentina,68 %,32 %
Trinidad y Tobago,,
Luxemburgo,,
Mali,,
Suecia,33 %,67 %
Fiyi,,
Australia,51 %,49 %
Malta,,
Georgia,,
Uzbekistán,59 %,41 %
Francia,61 %,39 %
Malasia,60 %,40 %
Islas Vírgenes de EE. UU.,,
Bahamas,,
Dominica,,
Chequia,36 %,64 %
Uganda,,
Egipto,56 %,44 %
Uruguay,,
Esuatini,,
Venezuela,82 %,18 %
Barbados,,
Tanzania,,
Croacia,45 %,55 %
Islas Vírgenes Británicas,,
Islas Salomón,,
Santa Lucía,,
Chile,72 %,28 %
Eslovenia,,
Colombia,66 %,34 %
Puerto Rico,,
Zambia,,
Austria,35 %,65 %
Libia,,
Jordania,,
Montenegro,,
Nueva Zelanda,39 %,61 %
Irlanda,51 %,49 %
Aruba,,
Emiratos Árabes Unidos,60 %,40 %
Irak,73 %,27 %
Noruega,38 %,62 %
Islas Caimán,,
Reino Unido,44 %,56 %
Hungría,35 %,65 %
Japón,39 %,61 %
Namibia,,
Islas Marianas del Norte,,
Guadalupe,,
Bélgica,41 %,59 %
Grecia,54 %,46 %
San Bartolomé,,
Guam,,
Martinica,,
Dinamarca,25 %,75 %
Finlandia,39 %,61 %
República Centroafricana,,
Tailandia,55 %,45 %
Alemania,41 %,59 %
Letonia,,
Islas Feroe,,
Indonesia,80 %,20 %
Estonia,,
Liechtenstein,,
Lituania,,
Polinesia Francesa,,
Países Bajos,34 %,66 %
Samoa,,
Sudáfrica,42 %,58 %
Reunión,,
Curazao,,
Omán,,
Bulgaria,26 %,74 %
Jersey,,
Bielorrusia,25 %,75 %
Sudán,,
Polonia,37 %,63 %
Catar,,
Kazajistán,53 %,47 %
Surinam,,
Isla de Man,,
Nueva Caledonia,,
Gibraltar,,
Baréin,,
Sint Maarten,,
Guernesey,,
Siria,,
Brunéi,,
Kuwait,,
Irán,53 %,47 %
Arabia Saudí,65 %,35 %
Bermudas,,
Seychelles,,
Groenlandia,,
Turkmenistán,,
Turquía,39 %,61 %
Tayikistán,,
Ucrania,28 %,72 %
Kirguistán,,
Islas Marshall,,
Mayotte,,
San Martín,,
Santo Tomé y Príncipe,,
Islas Cocos,,
Tokelau,,
Antártida,,
Kiribati,,
Tuvalu,,
Montserrat,,
Islas Cook,,
Islas Malvinas (Islas Falkland),,
Islas Georgia del Sur y Sandwich del Sur,,
Islas menores alejadas de EE. UU.,,
Svalbard y Jan Mayen,,
Territorio Británico del Océano Índico,,
Isla de Navidad,,
Ciudad del Vaticano,,
Corea del Norte,,
Islas Heard y McDonald,,
Mónaco,,
Isla Bouvet,,
San Pedro y Miquelón,,
Palaos,,
Wallis y Futuna,,
Isla Norfolk,,
Anguila,,
Islas Pitcairn,,
Nauru,,
Niue,,
Territorios Australes Franceses,,
